index,x_m,y_m,z_m
126,151.75550901803672,151.75450901803683,52.21329418436878
127,152.55911623246564,152.55811623246575,52.26697193186378
128,153.36272344689448,153.3617234468946,52.320649679358766
129,154.16633066132337,154.1653306613235,52.37432742685377
130,154.96993787575218,154.9689378757523,52.428005174348755
131,155.77354509018107,155.77254509018124,52.48168292184374
132,156.5771523046099,156.57615230461002,52.53536066933874
133,157.3807595190388,157.37975951903894,52.589038416833716
134,158.1843667334676,158.18336673346775,52.642716164328704
135,158.9879739478965,158.98697394789667,52.6963939118237
136,159.79158116232534,159.79058116232545,52.750071659318685
137,160.59518837675427,160.59418837675437,52.80374940681368
138,161.39879559118305,161.39779559118318,52.85742715430867
139,162.20240280561197,162.2014028056121,52.91110490180366
140,163.00601002004078,163.0050100200409,52.96478264929865
141,163.80961723446964,163.80861723446978,53.01846039679364
142,164.61322444889848,164.61222444889862,53.07213814428863
143,165.4168316633274,165.4158316633275,53.12581589178362
144,166.22043887775624,166.21943887775635,53.179493639278604
145,167.0240460921851,167.02304609218524,53.2331713867736
146,167.82765330661397,167.82665330661408,53.28684913426859
147,168.6312605210428,168.63026052104297,53.34052688176359
148,169.43486773547167,169.43386773547178,53.394204629258574
149,170.23847494990054,170.23747494990067,53.44788237675356
150,171.04208216432937,171.0410821643295,53.50156012424854
151,171.84568937875827,171.8446893787584,53.55523787174354
152,172.64929659318713,172.64829659318724,53.608915619238545
153,173.45290380761597,173.45190380761613,53.66259336673352
154,174.25651102204486,174.25551102204497,53.716271114228505
155,175.06011823647367,175.0591182364738,53.77826687381183
156,175.86372545090256,175.8627254509027,53.86953740681373
157,176.6673326653314,176.6663326653315,53.96597991583177
158,177.47093987976027,177.4699398797604,54.0624224248498
159,178.27454709418913,178.27354709418927,54.15886493386783
160,179.07815430861797,179.07715430861813,54.25530744288587
161,179.88176152304686,179.880761523047,54.35174995190391
162,180.68536873747573,180.68436873747584,54.448192460921945
163,181.48897595190456,181.4879759519047,54.54463496993998
164,182.29258316633343,182.29158316633357,54.64107747895801
165,183.09619038076232,183.09519038076246,54.73751998797606
166,183.89979759519113,183.8987975951913,54.833962496994076
167,184.70340480961994,184.7024048096201,54.93040500601211
168,185.5070120240489,185.506012024049,55.026847515030155
169,186.3106192384777,186.30961923847784,55.12329002404819
170,187.1142264529066,187.1132264529067,55.21973253306623
171,187.9178336673354,187.9168336673355,55.31617504208427
172,188.72144088176432,188.72044088176443,55.4126175511023
173,189.52504809619313,189.52404809619324,55.50906006012033
174,190.32865531062205,190.32765531062216,55.60550256913839
175,191.13226252505083,191.13126252505097,55.7019450781564
176,191.93586973947976,191.93486973947986,55.798387587174446
177,192.73947695390854,192.73847695390867,55.89483009619248
178,193.54308416833746,193.5420841683376,55.99127260521052
179,194.34669138276627,194.34569138276638,56.08771511422856
180,195.1502985971952,195.1492985971953,56.1841576232466
181,195.95390581162397,195.95290581162413,56.280600132264624
182,196.75751302605292,196.75651302605303,56.377042641282664
183,197.56112024048173,197.56012024048184,56.473485150300704
